college_name,no_of_applications,no_of_apps_accepted,no_of_enrolled,PctTop10HS,PctTop25HS,no_of_FT,no_of_PT,outstate_tuition,room_board_cost,books_cost,personal_spending,pct_phd_faculty,pct_termianl_faculty,sf_ratio,pct_alumni_donors,exp_per_student,total_misc_cost,accept_rate,is_private,grad_rate_round
Bemidji State University,0.023472809,0.030657323,0.080383829,0.115789474,0.296703297,0.116080498,0.037691779,0.107696281,0.145018916,0.251336898,0.236641221,0.538461538,0.5,0.45844504,0.25,0.010669783,0.190744921,0.675931402,No,0.4
Benedictine College,0.011476059,0.02086983,0.029416391,0.136842105,0.164835165,0.017870747,0.022899015,0.372417355,0.32629256,0.113190731,0,0.615384615,0.789473684,0.310991957,0.28125,0.051576904,0.110609481,0.97752809,Yes,0.54
Bennington College,0.009122529,0.009711326,0.012427246,0.252631579,0.483516484,0.010093956,4.58E-05,1,0.365699874,0.22459893,0.038167939,0.296703297,0.460526316,0.203753351,0.515625,0.248421211,0.195259594,0.562507392,Yes,0.51
Bentley College,0.070501739,0.08599284,0.095170678,0.2,0.56043956,0.093829355,0.070162583,0.591942149,0.587957125,0.237967914,0.091603053,0.868131868,0.828947368,0.402144772,0.3125,0.146191114,0.397291196,0.612300414,Yes,0.81
Berry College,0.03701081,0.043758093,0.070001573,0.378947368,0.648351648,0.047009904,0.002198305,0.294938017,0.340479193,0.113190731,0.324427481,0.791208791,0.736842105,0.36997319,0.265625,0.138085094,0.360609481,0.594559432,Yes,0.6
Bethany College,0.016599671,0.028334222,0.025955639,0.157894737,0.351648352,0.017997715,0.00279368,0.330578512,0.249527112,0.202317291,0.221374046,0.593406593,0.578947368,0.243967828,0.453125,0.085433672,0.241873589,0.916499113,Yes,0.43
Bethel College KS,0.002520151,0.004265367,0.013685701,0.189473684,0.362637363,0.012633316,0.004579803,0.320247934,0.283732661,0.180035651,0.175572519,0.582417582,0.736842105,0.168900804,0.5,0.096857504,0.226862302,0.894618569,Yes,0.52
Bethel College,0.008768459,0.011882093,0.010854176,0.105263158,0.208791209,0.006602336,0.003343256,0.199380165,0.176544767,0.22459893,0.083969466,0.604395604,0.513157895,0.246648794,0.203125,0.083642807,0.093679458,0.721939681,Yes,0.28
Bethune Cookman College,0.032595339,0.041054155,0.079754601,0.115789474,0.230769231,0.06313484,0.00370964,0.147107438,0.254728878,0.24688057,0.34351145,0.43956044,0.315789474,0.302949062,0.140625,0.068448734,0.34717833,0.643642815,Yes,0.54
Birmingham-Southern College,0.015079249,0.019651154,0.03964134,0.694736842,0.868131868,0.039264855,0.009434394,0.481404959,0.401166456,0.135472371,0.099236641,0.725274725,0.723684211,0.308310992,0.53125,0.102984146,0.243227991,0.681135423,Yes,0.7
Blackburn College,0.008726803,0.010054079,0.019034136,0.252631579,0.505494505,0.008951244,0.001190749,0.214876033,0.145018916,0.180035651,0.114503817,0.747252747,0.684210526,0.316353887,0.828125,0.097856618,0.082392777,0.612063868,Yes,0.46
Bloomsburg Univ. of Pennsylvania,0.139378918,0.112575215,0.155733837,0.147368421,0.505494505,0.181183342,0.043279139,0.284297521,0.184110971,0.180035651,0.218320611,0.637362637,0.578947368,0.415549598,0.296875,0.072671405,0.187133183,0.346067416,No,0.73
Bluefield College,0.006164997,0.010891919,0.022966808,0.147368421,0.230769231,0.016315389,0.005862148,0.248450413,0.405107188,0.157754011,0.190839695,0.582417582,0.565789474,0.410187668,0.046875,0.05792976,0.319413093,0.940390302,Yes,0.48
Bluffton College,0.01272572,0.016832965,0.027371402,0.2,0.450549451,0.019711783,0.003663842,0.390495868,0.348360656,0.135472371,0.099236641,0.747252747,0.618421053,0.289544236,0.296875,0.110977058,0.205417607,0.695801301,Yes,0.54
Boston University,0.418865724,0.492611775,0.593833569,0.463157895,0.78021978,0.470797359,0.142523471,0.830578512,0.792875158,0.168894831,0.118320611,0.791208791,0.75,0.252010724,0.25,0.257318981,0.546275395,0.579183915,Yes,0.7
Bowdoin College,0.068210693,0.036065199,0.060248545,0.789473684,1,0.042883443,0.000320586,0.862086777,0.647068096,0.623440285,0.095419847,0.934065934,0.947368421,0.233243968,0.8125,0.325390691,0.54006772,0.176345358,Yes,0.97
Bowling Green State University,0.19098994,0.276525249,0.4783703,0.136842105,0.395604396,0.430421534,0.055507213,0.264049587,0.24779319,0.22459893,0.221374046,0.802197802,0.855263158,0.498659517,0.21875,0.070352706,0.246275395,0.754819633,No,0.64
Bradford College,0.007539625,0.009825577,0.018247601,0.042105263,0.296703297,0.009966988,0.001877719,0.606404959,0.707755359,0.180035651,0.099236641,0.538461538,0.736842105,0.206434316,0.328125,0.230003582,0.474040632,0.698285038,Yes,0.4
Bradley University,0.076770875,0.127275497,0.161396885,0.305263158,0.538461538,0.139410868,0.029402336,0.440599174,0.419293821,0.848484848,0.194198473,0.736263736,0.75,0.319034853,0.328125,0.084547665,0.506997743,0.889178001,Yes,0.84
Brandeis University,0.085497678,0.10172138,0.110901369,0.494736842,0.747252747,0.085068563,0.00279368,0.880165289,0.783417402,0.139928699,0.114503817,0.901098901,0.960526316,0.195710456,0.375,0.26323826,0.529345372,0.592312241,Yes,0.83
Brenau University,0.00595672,0.007692894,0.019348749,0.115789474,0.351648352,0.024695277,0.021891459,0.374586777,0.64612232,0.180035651,0.06870229,0.692307692,0.736842105,0.300268097,0.1875,0.051821969,0.407336343,0.700295683,Yes,0.44
Brewton-Parker College,0.028221523,0.044024678,0.183577159,0.094736842,0.186813187,0.037487303,0.037600183,0.104907025,0.093001261,0.180035651,0.267175573,0.593406593,0.5,0.27077748,0.15625,0.03231097,0.158013544,0.82874039,Yes,0.09
Briar Cliff College,0.006477412,0.010625333,0.018876829,0.157894737,0.384615385,0.019013459,0.019647355,0.409090909,0.286412358,0.22459893,0.190839695,0.340659341,0.552631579,0.284182306,0.40625,0.097441891,0.251354402,0.876286221,Yes,0.54
Bridgewater College,0.015766563,0.022888263,0.040427875,0.221052632,0.483516484,0.023552565,0.002473094,0.409349174,0.464218159,0.206773619,0.095419847,0.659340659,0.644736842,0.286863271,0.375,0.103097253,0.303611738,0.767120047,Yes,0.81
Brigham Young University at Provo,0.151708912,0.202985757,0.720465628,0.494736842,0.802197802,0.864620366,0.057339134,0,0.283732661,0.340463458,0.148091603,0.747252747,0.684210526,0.482573727,0.625,0.089166211,0.24717833,0.684801892,Yes,0.26
Brown University,0.260450295,0.120610861,0.224476955,0.905263158,0.945054945,0.174707974,0.015937715,0.887809917,0.653530895,0.278074866,0.129770992,1,1,0.136729223,0.609375,0.325258733,0.48261851,0.121584861,Yes,0.98
Bucknell University,0.134692687,0.142470866,0.130092811,0.505263158,0.835164835,0.100844337,0.001373941,0.837293388,0.46815889,0.31372549,0.145038168,0.956043956,0.960526316,0.313672922,0.5625,0.197730315,0.37020316,0.505972797,Yes,0.93
Buena Vista College,0.016224772,0.023459517,0.039326726,0.326315789,0.67032967,0.05678644,0.020196932,0.56642562,0.317938209,0.157754011,0.106870229,0.593406593,0.592105263,0.168900804,0.15625,0.05932475,0.194920993,0.763453578,Yes,0.76
Butler University,0.047507967,0.074834336,0.104609092,0.410526316,0.648351648,0.078339259,0.006732311,0.557334711,0.452395965,0.180035651,0.20610687,0.758241758,0.75,0.225201072,0.453125,0.119233887,0.37020316,0.837256062,Yes,0.82
Cabrini College,0.010788745,0.016071293,0.029731005,0.073684211,0.208791209,0.028440833,0.020380124,0.422417355,0.704602774,0.090909091,0.007633588,0.56043956,0.684210526,0.375335121,0.5625,0.074104096,0.381489842,0.792667061,Yes,0.69
Caldwell College,0.019369754,0.020260492,0.028000629,0.168421053,0.362637363,0.017585069,0.039706893,0.338842975,0.444514502,0.146613191,0.114503817,0.868131868,0.947368421,0.305630027,0.390625,0.089279318,0.288374718,0.523832052,Yes,0.51
California Lutheran University,0.010038948,0.006664636,0.033349064,0.231578947,0.472527473,0.040883697,0.019738951,0.54803719,0.554854981,0.229946524,0.049770992,0.703296703,0.657894737,0.26541555,0.265625,0.109318152,0.340632054,0.336132466,Yes,0.56
California Polytechnic-San Luis,0.160998063,0.142623201,0.254050653,0.484210526,0.703296703,0.405408837,0.064254637,0.260330579,0.488177806,0.229946524,0.281068702,0.703296703,0.75,0.463806971,0.203125,0.099289309,0.463882619,0.395269072,No,0.55
California State University at Fresno,0.092870681,0.122705461,0.2277804,0.042105263,0.56043956,0.423914424,0.057384932,0.277169421,0.407944515,0.22459893,0.255877863,0.901098901,0.868421053,0.501340483,0.125,0.076950629,0.386455982,0.675458309,No,0.57
Calvin College,0.03546956,0.05484043,0.138115463,0.294736842,0.516483516,0.103542407,0.006182734,0.407541322,0.304224464,0.135472371,0.146564885,0.736263736,0.75,0.329758713,0.640625,0.086715554,0.208803612,0.819633353,Yes,0.8
Campbell University,0.041780351,0.048251961,0.097844895,0.2,0.494505495,0.096876587,0.055095031,0.26911157,0.159205549,0.22459893,0.038167939,0.758241758,0.697368421,0.517426273,0.53125,0.010424718,0.047404063,0.576108811,Yes,0.6
Campbellsville College,0.01597484,0.01961307,0.041371716,0.252631579,0.505494505,0.025266633,0.00838104,0.19214876,0.20334174,0.22459893,0.160305344,0.593406593,0.552631579,0.407506702,0.203125,0.041566912,0.169300226,0.635955056,Yes,0.44
Canisius College,0.057734364,0.080775383,0.112946358,0.157894737,0.274725275,0.090115541,0.019830547,0.434400826,0.561160151,0.135472371,0.134351145,0.901098901,0.894736842,0.324396783,0.40625,0.090221879,0.383747178,0.726434063,Yes,0.61
Capital University,0.034698936,0.049889557,0.065125059,0.347368421,0.626373626,0.048343068,0.043920311,0.553202479,0.349936948,0.180035651,0.083969466,0.615384615,0.592105263,0.257372654,0.421875,0.120101042,0.206546275,0.752927262,Yes,0.82
Capitol College,0.000395726,0.000685505,0,0.094736842,0.472527473,0.004539106,0.01511335,0.313016529,0.162673392,0.090909091,0.287633588,0.021978022,0.342105263,0.257372654,0.375,0.090297284,0.200451467,0.881726789,Yes,0.47
Carleton College,0.054422761,0.057392033,0.071417335,0.778947368,0.923076923,0.054945404,0.000503778,0.875619835,0.34315889,0.202317291,0.045801527,0.802197802,0.907894737,0.211796247,0.9375,0.278507738,0.179119639,0.510467179,Yes,0.91
Carnegie Mellon University,0.180097057,0.195330947,0.181846783,0.621052632,0.879120879,0.130967496,0.013281429,0.803719008,0.616330391,0.157754011,0.152671756,0.857142857,0.907894737,0.179624665,0.484375,0.399645597,0.442437923,0.522057954,Yes,0.72
Carroll College,0.02247308,0.034998857,0.049866289,0.189473684,0.505494505,0.038661757,0.033707351,0.509297521,0.331021438,0.171122995,0.103816794,0.725274725,0.75,0.410187668,0.390625,0.084453409,0.205417607,0.827675931,Yes,0.78
Carson-Newman College,0.021140108,0.033475512,0.067484663,0.273684211,0.582417582,0.051961656,0.010899931,0.300103306,0.215952081,0.135472371,0.038167939,0.582417582,0.5,0.297587131,0.25,0.066544762,0.065462754,0.843524542,Yes,0.64
Carthage College,0.031970508,0.051603321,0.062765455,0.2,0.373626374,0.040185373,0.02651706,0.557076446,0.314470366,0.180035651,0.160305344,0.725274725,0.855263158,0.35924933,0.34375,0.078760345,0.23758465,0.861620343,Yes,0.58
Case Western Reserve University,0.079061921,0.11744992,0.106654082,0.736842105,0.923076923,0.092432707,0.023448592,0.690082645,0.465006305,0.191176471,0.184732824,0.956043956,0.934210526,0.010723861,0.453125,0.311930929,0.366252822,0.780011827,Yes,0.64
Castleton State College,0.024493366,0.033056592,0.051596665,0.084210526,0.142857143,0.044692737,0.013418823,0.274586777,0.458701135,0.135472371,0.06870229,0.89010989,0.881578947,0.327077748,0.125,0.059041982,0.261851016,0.701714962,No,0.78
Catawba College,0.020869348,0.030771574,0.040270568,0.126315789,0.274725275,0.024631793,0.003618044,0.357954545,0.365699874,0.22459893,0.245801527,0.736263736,0.763157895,0.294906166,0.421875,0.098761476,0.348758465,0.778356002,Yes,0.51
Catholic University of America,0.03484473,0.053050499,0.073934246,0.242105263,0.43956044,0.064118842,0.009617586,0.587396694,0.729508197,0.191622103,0.129770992,0.901098901,0.947368421,0.18230563,0.28125,0.180311799,0.515124153,0.805085748,Yes,0.73
Cedar Crest College,0.014475246,0.020374743,0.025641026,0.252631579,0.538461538,0.020695785,0.034943897,0.619834711,0.552490542,0.180035651,0.114503817,0.549450549,0.776315789,0.246648794,0.609375,0.146568138,0.374153499,0.742400946,Yes,0.72
Cedarville College,0.025534751,0.038769137,0.091395312,0.252631579,0.505494505,0.065293296,0.00370964,0.258471074,0.414564943,0.211229947,0.114503817,0.461538462,0.368421053,0.343163539,0.53125,0.069956831,0.283295711,0.80366647,Yes,0.61
Centenary College,0.005998375,0.009140072,0.00865188,0.115789474,0.406593407,0.008157694,0.024043966,0.467975207,0.570617907,0.180035651,0.077862595,0.362637363,0.802631579,0.18766756,0.3125,0.120591174,0.360045147,0.817267889,Yes,0.16
Centenary College of Louisiana,0.008622665,0.013786275,0.027528709,0.357894737,0.505494505,0.020187913,0.001969315,0.34142562,0.269546028,0.22459893,0.251908397,0.857142857,0.894736842,0.235924933,0.390625,0.122513997,0.284424379,0.854287404,Yes,0.63
Center for Creative Studies,0.0108304,0.012339097,0.02642756,0,0.120879121,0.012252412,0.014746966,0.459194215,0.766551072,1,0.05648855,0,0.447368421,0.115281501,0.0625,0.18547703,0.69221219,0.596570077,Yes,0.42
Central College,0.025034886,0.039645061,0.057574328,0.315789474,0.615384615,0.038598273,0.001786123,0.44411157,0.296343001,0.24688057,0.053435115,0.747252747,0.868421053,0.294906166,0.453125,0.099119649,0.162528217,0.843287995,Yes,0.64
Central Connecticut State University,0.084914502,0.093685734,0.136385087,0.052631579,0.164835165,0.198546216,0.177696359,0.187086777,0.419924338,0.180035651,0.11221374,0.67032967,0.644736842,0.380697051,0.0625,0.03231097,0.277539503,0.537433471,No,0.44
Central Missouri State University,0.095807385,0.153438952,0.220386975,0.094736842,0.285714286,0.252507618,0.073047859,0.117768595,0.237704918,0.090909091,0.305343511,0.67032967,0.736842105,0.461126005,0.0625,0.043640545,0.267268623,0.853459491,No,0.45
Central Washington University,0.056318081,0.073844162,0.152902312,0.073684211,0.615384615,0.202133062,0.041080834,0.253202479,0.287358134,0.248663102,0.178015267,0.648351648,0.855263158,0.418230563,0,0.060832846,0.248645598,0.671318746,No,0.46
Central Wesleyan College,0.001936975,0.002818189,0.008337266,0.073684211,0.21978022,0.028821737,0.001465537,0.30785124,0.204918033,0.22459893,0.053435115,0.593406593,0.5,0.340482574,0.28125,0.003374366,0.091422122,0.809698403,Yes,0.54
Centre College,0.019411409,0.031076243,0.039798647,0.568421053,0.802197802,0.025520569,0.000274788,0.491219008,0.392496847,0.22459893,0.099236641,0.956043956,0.986842105,0.238605898,0.9375,0.187230192,0.259593679,0.854050857,Yes,0.72
Chapman University,0.018286714,0.026620459,0.049708982,0.231578947,0.428571429,0.048343068,0.00952599,0.737809917,0.648644388,0.22459893,0.129770992,0.703296703,0.736842105,0.27613941,0.09375,0.179199578,0.465575621,0.768184506,Yes,0.42
Chatham College,0.002728428,0.004760454,0.008809187,0.284210526,0.516483516,0.010538344,0.006732311,0.576446281,0.543820933,0.135472371,0.091603053,0.956043956,0.973684211,0.18230563,0.578125,0.243350237,0.33972912,0.916262567,Yes,0.47
Chestnut Hill College,0.005436028,0.006931221,0.014314928,0.252631579,0.604395604,0.012030218,0.010579345,0.412964876,0.509930643,0.26916221,0.091603053,0.692307692,0.618421053,0.155495979,0.453125,0.085641035,0.349322799,0.695683028,Yes,0.71
Christendom College,0,0,0.00251691,0.336842105,0.681318681,0,9.16E-05,0.330061983,0.286885246,0.135472371,0.083969466,0.923076923,0.894736842,0.18230563,0.265625,0.145832941,0.150112867,0.868598462,Yes,0.54
Christian Brothers University,0.016641326,0.017061467,0.029731005,0.157894737,0.362637363,0.029488319,0.016624685,0.359504132,0.233291299,0.22459893,0.099236641,0.802197802,0.75,0.230563003,0.375,0.093181518,0.145598194,0.516144293,Yes,0.6
Christopher Newport University,0.016703809,0.02643004,0.061821614,0.021052632,0.307692308,0.087957085,0.080054958,0.285123967,0.46815889,0.191176471,0.250229008,0.791208791,0.763157895,0.501340483,0.25,0.027390804,0.416930023,0.843287995,No,0.43
Claflin College,0.023222877,0.02380227,0.072990404,0.210526316,0.417582418,0.026028441,0.000549576,0.107024793,0.107187894,0.180035651,0.114503817,0.67032967,0.592105263,0.386058981,0.484375,0.073463155,0.05530474,0.506564163,Yes,0.12
Claremont McKenna College,0.037052465,0.026468124,0.030202926,0.736842105,0.923076923,0.023743017,0,0.757231405,0.666771753,0.180035651,0.091603053,1,0.986842105,0.190348525,0.8125,0.287612872,0.439051919,0.305026611,Yes,0.87
